snail.no,teaball,temp,tank,initial.sh,final.sh,final.sh.width,cal.length
1,1,30,18,4.74,8.65,4.85,3.91
2,2,30,18,3.42,8.52,4.29,5.1
4,4,30,12,4.61,8.25,4.57,3.64
5,5,30,6,2.63,7.89,4.2,5.26
6,6,30,6,5.79,9.9,5.46,4.11
8,8,30,12,4.08,8.78,5.07,4.7
9,9,30,6,2.63,8.87,5.09,6.24
10,10,28,17,4.21,9.03,5.32,4.82
11,11,28,17,3.95,8.73,5.14,4.78
12,12,28,11,4.74,7.74,4.02,3
13,13,28,11,4.08,8.97,5.27,4.89
14,14,28,5,4.61,6.17,3.65,1.56
15,15,28,5,6.32,9.59,5.41,3.27
16,16,28,17,3.29,8.98,4.93,5.69
17,17,28,11,2.11,7.9,4.56,5.79
18,18,28,5,2.37,7.95,4.1,5.58
19,19,26,16,4.08,8.89,4.66,4.81
20,20,26,16,3.42,8.05,4.35,4.63
21,21,26,10,3.29,8.67,4.75,5.38
23,23,26,4,4.47,8.61,4.69,4.14
24,24,26,4,5.92,9.08,4.9,3.16
25,25,26,16,3.95,9.55,5.26,5.6
26,26,26,10,2.11,8.04,4.64,5.93
27,27,26,4,1.97,6.85,3.88,4.88
30,30,24,9,4.34,9.71,5.16,5.37
31,31,24,9,1.84,6.68,3.75,4.84
32,32,24,3,4.34,8.81,4.98,4.47
33,33,24,3,4.08,9.73,5.23,5.65
34,34,24,15,2.89,8.36,4.53,5.47
35,35,24,9,3.29,8.79,5.34,5.5
36,36,24,3,1.97,7.72,4.64,5.75
37,37,20,14,3.95,6.49,3.68,2.54
38,38,20,14,3.29,6.9,3.89,3.61
39,39,20,8,5.39,7.34,4.11,1.95
43,43,20,14,2.11,4.94,3.05,2.83
44,44,20,8,2.5,7.02,3.61,4.52
46,46,16,13,4.21,7.51,4.18,3.3
48,48,16,7,5.26,6.95,3.85,1.69
49,49,16,7,2.11,4.76,2.92,2.65
50,50,16,1,1.71,2.5,1.79,0.79
51,51,16,1,6.45,8.1,4.49,1.65
52,52,16,13,2.11,4.71,2.88,2.6
53,53,16,7,1.97,4.34,2.32,2.37
54,54,16,1,1.97,4.02,2.64,2.05
